,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Hhatl,0.498123408482531,0.124065667414125,2.60598482079335,0.0476079777687866,0.962028673900899,NA
Hif3a,11.6751383393826,-1.47273018484844,1.4036869606241,-1.04918705249897,0.294092036501209,NA
Higd1b,1.98782395859099,-0.061808194172023,1.12564981776555,-0.0549089007936005,0.956211040770902,NA
Hist1h1t,7.17072665434471,1.52078202300816,0.858800150902511,1.77082179295144,0.0765903407516681,NA
Hist1h2af,7.98344712449538,0.0499745545491623,0.60960201000316,0.0819789858450487,0.934663424065804,NA
Hist3h2ba,8.25250100992138,0.596327138991611,0.868900203343921,0.686301069670227,0.492523274582542,NA
Hist3h2bb,6.14400559091252,0.621027236198836,0.891756140729262,0.696409262392038,0.486172564074169,NA
Hist3h3,0.466573926843468,-1.83150433922661,3.14638909798581,-0.582097217537102,0.560501199256527,NA
Hmga2,0.481394505445662,1.08585743870549,3.13730044439876,0.346112034199387,0.729258519745686,NA
Hmgb1-ps2,2.42170317371997,-1.12974219047576,1.24905945117045,-0.904474314186659,0.365743948369832,NA
Hmox2-ps1,4.44550250058623,-0.152002636037231,0.850063939991733,-0.178813179675295,0.858084396192537,NA
Hmx1,1.22231370935859,0.124065632751464,2.71107549487361,0.04576251490822,0.963499536261443,NA
Hnrnpc,3.80653882909291,0.47291455622981,0.780967771366859,0.605549388295639,0.54481401931796,NA
Hormad1,2.69122454996303,-0.133040169867795,1.13059399060047,-0.117672808252887,0.906326912930555,NA
Hormad2,4.16525743357116,-1.76526389550788,1.2594887113219,-1.40157182802786,0.161043144519746,NA
Hoxa6,0.809540461070496,-2.17502448809022,4.51380846417369,-0.481860164283332,0.629905286301306,NA
Hoxa9,0.500903658800887,0.124063420400224,6.5584379781912,0.0189166110608612,0.984907628201655,NA
Hoxb7,3.9312948004181,-0.201506059894053,0.876117779053452,-0.229998825171381,0.818092682625114,NA
Hoxb8,0.365666208156526,-1.44740111947866,4.27980760530687,-0.338193034117682,0.735217724892412,NA
Hoxc4,1.0808288764457,-1.1612059849622,2.28270788418026,-0.508696707541798,0.610964830578551,NA
Hoxd4,0.465764932693502,2.04399487117782,3.27899989695019,0.6233592361741,0.53304847924774,NA
Hpdl,5.53149677931833,-0.59457181284699,0.818004977609209,-0.726855983914365,0.467314183491456,NA
Hpse2,3.75463001110868,1.72300608258317,1.41555727259892,1.21719277342963,0.223530879068341,NA
Hrasls5,3.39474208576956,1.88783437915117,1.42084492727267,1.32867024607315,0.183956785395968,NA
Hrh1,1.55184987340182,0.112512364283014,1.87346533910999,0.0600557490625709,0.952111233444117,NA
Hrh2,7.62179019184009,0.142123928938992,0.703969155667194,0.201889426255178,0.840003168498936,NA
Hrh3,2.78133593924483,0.145883934529136,1.1705465754731,0.124628902075233,0.900817346235508,NA
Hrh4,0.740132676183509,1.62070967198177,2.24067140727539,0.723314300668712,0.469486808841376,NA
Hs3st2,1.37576424053098,0.124065790157232,2.19374005452566,0.0565544627319382,0.954900109924779,NA
Hs3st6,6.45726570313348,0.855097979134318,0.806799543201523,1.05986423311686,0.289206369458296,NA
Hs6st3,0.623845362256597,0.1240655241796,3.01664418510919,0.0411269995951178,0.967194650244146,NA
Hsbp1l1,7.63523366307835,-0.966895767756532,0.693093092729492,-1.3950445876596,0.163002394362735,NA
Hsd17b3,3.38931711077145,-1.00089367573414,0.939673594384215,-1.06515036893214,0.286807888928332,NA
Hsd3b6,7.36953155595528,-2.36345221103235,1.12870523881833,-2.09394989032451,0.0362644443037183,NA
Hsf2bp,5.58064583960514,1.1125797187768,0.947253962864139,1.17453160651108,0.240182159779541,NA
Hspa1l,2.68310388995785,-0.448775530651428,1.18111168619795,-0.379960283092326,0.703974897542865,NA
Hspa2,10.7765507772624,-0.131976494664815,0.541234046146346,-0.243843667272049,0.807351899293333,NA
Hspb2,12.8154149078486,-0.715206876559717,0.753483053757812,-0.949201011214251,0.342518387364462,NA
Hspb7,3.35943412720737,0.985787851124053,1.12873070892227,0.87335964489289,0.382467079754428,NA
Hspb9,3.05283174612001,-0.353972543942321,0.982375845016901,-0.360322931124423,0.718605652860728,NA
Htr1b,0.93251087983406,-0.872547667128942,2.85280355739158,-0.305856204107774,0.759714132963882,NA
Htr2a,1.31411502597487,1.08586076260674,1.92887453322563,0.562950437626894,0.573468633590122,NA
Htr7,5.27839516704183,0.513775283256463,1.07645600163382,0.477284052926144,0.633159865082707,NA
Hunk,7.63398471445045,-0.781363348224213,0.821212232063263,-0.951475535454542,0.34136303183424,NA
Hypm,0.401393005564211,-0.837712588147992,6.5584379781912,-0.127730503960492,0.8983622491429,NA
Iapp,0.747211411741218,-0.593697497762694,2.43694043860461,-0.243624131455032,0.807521937121903,NA
Ibsp,1.21010508535867,0.927419726777999,2.39611194690985,0.387051918827937,0.698717771911245,NA
Ica1l,7.77835508306092,-0.465881667032495,0.64443689483764,-0.722928297191722,0.469723937490005,NA
Icam4,5.47337259559835,0.567032852440663,0.87561929102322,0.647579214224537,0.517257144760987,NA
